,,
Rk,Player,Guaranteed
151,Lou Williams\willilo02,$16000000
152,Elfrid Payton\paytoel01,$9000000
153,Thomas Bryant\bryanth01,$25000000
154,RJ Barrett\barrerj01,$16071720
155,Jayson Tatum\tatumja01,$17727120
156,Jae Crowder\crowdja01,$7815533
157,Wayne Ellington\ellinwa01,$7804878
158,Luka Dončić\doncilu01,$15732720
159,Joe Harris\harrijo01,$7670000
160,Seth Curry\curryse01,$32000000
161,Doug McDermott\mcderdo01,$14666667
162,Langston Galloway\gallola01,$7333333
163,Derrick Rose\rosede01,$15000000
164,Brandon Ingram\ingrabr01,$7265485
165,D.J. Augustin\augusdj01,$7250000
166,Darius Miller\milleda01,$7250000
167,De'Andre Hunter\huntede01,$14490360
168,Josh Jackson\jacksjo02,$7059480
169,Dāvis Bertāns\bertada01,$7000000
170,Ersan İlyasova\ilyaser01,$7000000
171,Jaren Jackson\jacksja02,$14184840
172,DeMarre Carroll\carrode01,$14262321
173,Nemanja Bjelica\bjeline01,$6825000
174,Jaylen Brown\brownja02,$109534829
175,Jabari Parker\parkeja01,$6500000
176,Ivica Zubac\zubaciv01,$21000000
177,Joakim Noah\noahjo01,$19294998
178,Darius Garland\garlada01,$13121640
179,De'Aaron Fox\foxde01,$14492387
180,Trae Young\youngtr01,$12844800
181,Montrezl Harrell\harremo01,$6000000
182,Ish Smith\smithis01,$12000000
183,Marco Belinelli\belinma01,$5846154
184,Jarrett Culver\culveja01,$11917920
185,Jonathan Isaac\isaacjo01,$13169006
186,Rodney Hood\hoodro01,$5718000
187,Mohamed Bamba\bambamo01,$11666640
188,Timofey Mozgov\mozgoti01,$16720000
189,Trey Lyles\lylestr01,$5500000
190,Deron Williams\willide01,$5474787
191,Aron Baynes\baynear01,$5453280
192,Kris Dunn\dunnkr01,$5348007
193,Josh Smith\smithjo03,$5331729
194,Coby White\whiteco01,$10879800
195,Lauri Markkanen\markkla01,$12031908
196,Ryan Anderson\anderry01,$15643750
197,Wendell Carter\cartewe01,$10650240
198,Pau Gasol\gasolpa01,$5100000
199,Daniel Theis\theisda01,$5000000
200,Luol Deng\denglu01,$14970000
201,Jaxson Hayes\hayesja02,$9967200
202,Buddy Hield\hieldbu01,$90861208
203,Frank Ntilikina\ntilila01,$11032378
204,Ed Davis\davised01,$9772350
205,Richaun Holmes\holmeri01,$9772350
206,Frank Kaminsky\kaminfr01,$9772350
207,Mike Scott\scottmi01,$9772350
208,Avery Bradley\bradlav01,$9772350
209,Robin Lopez\lopezro01,$4767000
210,JaMychal Green\greenja01,$4767000
211,Justin Holiday\holidju01,$4767000
212,Garrett Temple\templga01,$4767000
213,Enes Kanter\kanteen01,$4767000
214,Collin Sexton\sextoco01,$9756840
215,Rodney McGruder\mcgruro01,$15000000
216,Rui Hachimura\hachiru01,$9162000
217,Kevon Looney\looneke01,$9285715
218,Dennis Smith\smithde03,$10150317
219,Jamal Murray\murraja01,$174094746
220,Kevin Knox\knoxke01,$8968800
221,Cam Reddish\reddica01,$8703720
222,Zach Collins\colliza01,$9646455
223,Mikal Bridges\bridgmi01,$8520000
224,Alex Len\lenal01,$4160000
225,Cameron Johnson\johnsca02,$8268600
226,Malik Monk\monkma01,$9374087
227,Dorian Finney-Smith\finnedo01,$12000000
228,JaVale McGee\mcgeeja01,$8200000
229,Patrick McCaw\mccawpa01,$8000000
230,Reggie Bullock\bullore01,$5000000
231,Shai Gilgeous-Alexander\gilgesh01,$8094240
232,Nicolò Melli\mellini01,$8000000
233,P.J. Washington\washipj01,$7855440
234,Luke Kennard\kennalu01,$9100986
235,Miles Bridges\bridgmi02,$7689720
236,Jakob Pöltl\poeltja01,$3754886
237,Tyler Herro\herroty01,$7462440
238,Donovan Mitchell\mitchdo01,$8831261
239,Stanley Johnson\johnsst04,$3623000
240,Jake Layman\laymaja01,$11283255
241,Thon Maker\makerth01,$3569643
242,Jerome Robinson\robinje01,$7305240
243,Allonzo Trier\trieral01,$3551100
244,Danuel House\houseda01,$11151000
245,Domantas Sabonis\sabondo01,$80529555
246,Mirza Teletović\teletmi01,$7000000
247,Boban Marjanović\marjabo01,$7000000
248,T.J. McConnell\mccontj01,$4500000
249,DeMarcus Cousins\couside01,$3500000
250,Taurean Waller-Prince\princta02,$32481986
251,Dario Šarić\saricda01,$3481986
252,Romeo Langford\langfro01,$7089600
253,Bam Adebayo\adebaba01,$8569572
254,Kyle Korver\korveky01,$3440000
255,Michael Porter\portemi01,$6940200
256,Denzel Valentine\valende01,$3377569
257,Juan Hernangómez\hernaju01,$3321030
258,Sekou Doumbouya\doumbse01,$6734520
259,Justin Jackson\jacksju01,$8310570
260,Troy Brown\browntr01,$6592320
261,Jon Leuer\leuerjo01,$9508043
262,Yogi Ferrell\ferreyo01,$3150000
263,Guerschon Yabusele\yabusgu01,$3117240
264,Zhaire Smith\smithzh01,$6263400
265,Dwight Howard\howardw01,$3039097
266,Khem Birch\birchkh01,$6000000
267,Ryan Arcidiacono\arcidry01,$6000000
268,Quinn Cook\cookqu01,$4000000
269,Ömer Aşık\asikom01,$3000000
270,Nickeil Alexander-Walker\alexani01,$6078000
271,D.J. Wilson\wilsodj01,$7509400
272,Cedi Osman\osmande01,$27057143
273,Donte DiVincenzo\divindo01,$5949960
274,Bryn Forbes\forbebr01,$2875000
275,Andrew Nicholson\nichoan01,$14222145
276,Goga Bitadze\bitadgo01,$5774280
277,T.J. Leaf\leaftj01,$7140105
278,Lonnie Walker\walkelo01,$5652480
279,Alex Caruso\carusal01,$5500000
280,Malik Beasley\beaslma01,$2731714
281,Luka Šamanić\samanlu01,$5514240
282,John Collins\collijo01,$6823862
283,Kevin Huerter\huertke01,$5398200
284,Caris LeVert\leverca01,$55125718
285,Marko Guduric\gudurma01,$5375000
286,DeAndre' Bembry\bembrde01,$2603982
287,Matisse Thybulle\thybuma01,$5293440
288,Harry Giles\gilesha01,$2578800
289,Jeff Green\greenje02,$2564753
290,Pau Gasol\gasolpa01,$2564753
291,Wesley Matthews\matthwe02,$2564753
292,Kyle Korver\korveky01,$2564753
293,Udonis Haslem\hasleud01,$2564753
294,Jared Dudley\dudleja01,$2564753
295,Rajon Rondo\rondora01,$2564753
296,Dwight Howard\howardw01,$2564753
297,Thabo Sefolosha\sefolth01,$2564753
298,Tyson Chandler\chandty01,$2564753
299,Gerald Green\greenge01,$2564753
300,J.J. Barea\bareajo01,$2564753
301,Wilson Chandler\chandwi01,$2564753
302,Nenê Hilário\hilarne01,$2564753
303,Vince Carter\cartevi01,$2564753
304,Josh Okogie\okogijo01,$5181720
305,Vincent Poirier\poirivi01,$5125000
306,Rondae Hollis-Jefferson\holliro01,$2500000
307,Brandon Clarke\clarkbr01,$5081760
308,Terrance Ferguson\fergute01,$6419853
309,Grayson Allen\allengr01,$4974720
310,Anthony Tolliver\tollian01,$2419852
311,Grant Williams\willigr01,$4878600
312,Jarrett Allen\allenja01,$6286742
313,Pascal Siakam\siakapa01,$132271839
314,Skal Labissière\labissk01,$2338847
315,Chandler Hutchison\hutchch01,$4775760
316,Patrick Patterson\pattepa01,$2331593
317,Dejounte Murray\murrade01,$66321735
318,Alec Burks\burksal01,$2320044
319,Isaiah Thomas\thomais02,$2320044
320,Damian Jones\jonesda03,$2305057
321,Darius Bazley\bazleda01,$4683960
322,OG Anunoby\anunoog01,$6154015
323,Ante Žižić\zizican01,$2281800
324,Monta Ellis\ellismo01,$6736200
325,Markieff Morris\morrima02,$2241808
326,Aaron Holiday\holidaa01,$4584840
327,Luke Kornet\kornelu01,$4500000
328,Ty Jerome\jeromty01,$4496520
329,Willie Cauley-Stein\caulewi01,$2177483
330,Austin Rivers\riverau01,$2174318
331,Carmelo Anthony\anthoca01,$2159029
332,Anfernee Simons\simonan01,$4401600
333,Matt Barnes\barnema02,$2133541
334,Nassir Little\littlna01,$4316160
335,Torrey Craig\craigto01,$2100000
336,Moritz Wagner\wagnemo01,$4225440
337,Dylan Windler\windldy01,$4173240
338,Caleb Swanigan\swanica01,$2033160
339,Trey Burke\burketr01,$2028594
340,Kyle O'Quinn\oquinky01,$2028594
341,Michael Carter-Williams\cartemi01,$2028594
342,Mike Muscala\muscami01,$2028594
343,Nerlens Noel\noelne01,$2028594
344,Troy Daniels\danietr01,$2028594
345,Ben McLemore\mclembe01,$2028594
346,Spencer Hawes\hawessp01,$2007058
347,Edmond Sumner\sumneed01,$4160000
348,Avery Bradley\bradlav01,$2000000
349,Noah Vonleh\vonleno01,$2000000
350,Landry Shamet\shamela01,$4085160
351,Mfiondu Kabengele\kabenmf01,$4052880
352,Kyle Kuzma\kuzmaky01,$5536778
353,Jordan Poole\poolejo01,$4028040
354,Tony Bradley\bradlto01,$5504420
355,Keldon Johnson\johnske04,$3998640
356,Derrick White\whitede01,$5464364
357,Robert Williams\williro04,$3967440
358,Josh Hart\hartjo01,$5425319
359,Jacob Evans\evansja02,$3943200
360,Anderson Varejão\varejan01,$3826690
361,Džanan Musa\musadz01,$3914400
362,Omari Spellman\spellom01,$3886080
363,Shabazz Napier\napiesh01,$1882867
364,Glenn Robinson\robingl02,$1882867
365,James Ennis\ennisja01,$1882867
366,Tim Frazier\fraziti01,$1882867
367,Larry Sanders\sandela01,$5596641
368,Bruno Caboclo\cabocbr01,$1845301
369,Markieff Morris\morrima02,$1750000
370,Mario Hezonja\hezonma01,$3620012
371,Emmanuel Mudiay\mudiaem01,$1737145
372,Raul Neto\netora01,$1737145
373,JaKarr Sampson\sampsja02,$1737145
374,Pat Connaughton\connapa01,$1723050
375,Jahlil Okafor\okafoja01,$1702486
376,Rodions Kurucs\kurucro01,$3479388
377,Jonah Bolden\boldejo01,$1698450
378,Georges Niang\niangge01,$1678854
379,Cheick Diallo\diallch01,$1678854
380,Dragan Bender\bendedr01,$1678854
381,David Nwaba\nwabada01,$1678854
382,Treveon Graham\grahatr01,$1678854
383,Willy Hernangómez\hernawi01,$1676735
384,Derrick Jones\jonesde02,$1645357
385,Jordan McRae\mcraejo01,$1645357
386,Christian Wood\woodch01,$1645357
387,Furkan Korkmaz\korkmfu01,$1620564
388,Jordan Bell\belljo01,$1620564
389,Justin Patton\pattoju01,$1620564
390,Royce O'Neale\onealro01,$37618520
391,Dillon Brooks\brookdi01,$36618520
392,Wesley Iwundu\iwundwe01,$1618520
393,Abdel Nader\naderab01,$1618520
394,Damyean Dotson\dotsoda01,$1618520
395,Frank Jackson\jacksfr01,$1618520
396,Sterling Brown\brownst02,$1618520
397,Dwayne Bacon\bacondw01,$1618520
398,Semi Ojeleye\ojelese01,$1618520
399,Chris Boucher\bouchch01,$1588231
400,Malcolm Miller\millema01,$1588231
401,Monte Morris\morrimo01,$1588231
402,Mitchell Robinson\robinmi01,$1559712
403,Vlatko Čančar\cancavl01,$2416291
