Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1996-97,CLE,NBA,82,42,40,0.512,1.84,0.47,2.32,82.9,104.6,102.4,0.493,15,29.4,0.215,0.482,16.8,28.1,0.281
1996-97,DAL,NBA,82,24,58,0.293,-6.35,-0.12,-6.47,89,101.1,108.2,0.469,15.4,30,0.213,0.5,14.9,32.7,0.229
1996-97,DEN,NBA,82,21,61,0.256,-6.28,-0.12,-6.4,92.4,104.5,111.2,0.486,15.2,28.8,0.227,0.501,11.8,30.7,0.206
1996-97,DET*,NBA,82,54,28,0.659,5.24,0.2,5.45,84.5,110.6,104.4,0.512,13,27.5,0.244,0.487,14.6,29.6,0.197
1996-97,GSW,NBA,82,30,52,0.366,-4.71,-0.2,-4.9,91.9,107.2,112.2,0.493,15.8,32.3,0.258,0.518,14.4,32.5,0.234
1996-97,HOU*,NBA,82,57,25,0.695,4.48,-0.62,3.85,91.6,108.8,104,0.52,15.6,28.4,0.232,0.481,13.3,28.6,0.19
1996-97,IND,NBA,82,39,43,0.476,0.98,0.52,1.49,89,105.8,104.7,0.49,15.5,31.3,0.27,0.48,15,29.6,0.258
1996-97,LAC*,NBA,82,36,46,0.439,-2.35,-0.31,-2.66,91.3,105.1,107.6,0.482,14.7,30.8,0.227,0.499,15.5,31.9,0.269
1996-97,LAL*,NBA,82,56,26,0.683,4.27,-0.61,3.66,91.1,108.3,103.7,0.496,13.7,31.6,0.243,0.478,15.1,31.5,0.231
1996-97,MIA*,NBA,82,61,21,0.744,5.49,0.07,5.56,88.2,106.8,100.6,0.507,15.5,29.2,0.233,0.465,15.6,29.4,0.248
1996-97,MIL,NBA,82,33,49,0.402,-1.89,0.51,-1.38,89.5,106.2,108.3,0.496,15.1,29.7,0.248,0.501,14.1,30.1,0.253
1996-97,MIN*,NBA,82,40,42,0.488,-1.48,-0.35,-1.82,90.7,105.5,107.1,0.485,14.4,28.8,0.254,0.486,14.6,31.7,0.252
1996-97,NJN,NBA,82,26,56,0.317,-4.56,0.67,-3.89,92.4,104.7,109.7,0.456,13.9,36.4,0.212,0.503,14.1,31,0.244
1996-97,NYK*,NBA,82,57,25,0.695,3.12,0.18,3.31,90.5,104.4,101,0.501,17,30.5,0.255,0.463,15.4,26.6,0.279
1996-97,ORL*,NBA,82,45,37,0.549,-0.35,0.28,-0.07,88.3,105.6,106,0.481,14.5,30.9,0.227,0.495,15.3,32.7,0.211
1996-97,PHI,NBA,82,22,60,0.268,-6.54,0.65,-5.89,95.3,104.6,111.4,0.47,15.3,34.1,0.259,0.51,13.8,33.5,0.222
1996-97,PHO*,NBA,82,40,42,0.488,0.66,-0.45,0.21,93.2,109.3,108.6,0.508,13.4,27.1,0.241,0.507,14.4,30.6,0.215
1996-97,POR*,NBA,82,49,33,0.598,4.17,-0.61,3.56,90.9,107.9,103.3,0.503,15.4,32.5,0.249,0.471,14.3,27.6,0.268
